0.8125,0.729166667,0.458333333,0.604166667
1,0.958333333,0.8125,0.8125
0.958333333,0.9375,0.875,0.895833333
0.854166667,0.8125,0.854166667,0.666666667
0.854166667,0.6875,0.520833333,0.604166667
0.6875,0.583333333,0.583333333,0.625
0.9375,0.958333333,1,0.875
0.604166667,0.520833333,0.5625,0.541666667
1,1,0.979166667,0.958333333
1,0.979166667,0.854166667,0.854166667
0.958333333,0.958333333,0.895833333,0.895833333
0.8125,0.8125,0.645833333,0.625
0.854166667,0.75,0.75,0.6875
1,0.979166667,0.958333333,0.958333333
1,0.895833333,0.875,0.854166667
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
